date,type,company,role,url,match_pct,geo,status,channel,draft_id,notes
2026-08-17,vacancy,iubenda,SEO & AI Search Specialist (GEO/AEO),https://careers.iubenda.com/jobs/8047014-seo-ai-search-specialist-remote,92,Remote worldwide (PT/ES/PL listed),closed,form+WA,D01,Закрыта 2026-08-17: работодатель не принимает отклики. Не слать.
2026-08-17,vacancy,ArtKod,SEO-оптимизатор (SEO + GEO/AEO),https://hh.ru/vacancy/135260617,90,Remote worldwide,todo,HH+TG,D02,Агентство SEO/GEO. HH отклик + короткое сообщение.
2026-08-17,vacancy,Better Proposals,Junior SEO Specialist,https://weworkremotely.com/remote-jobs/better-proposals-junior-seo-specialist,88,Anywhere in the world,todo,WWR+WA,D03,Junior по названию но GEO/AIO в обязанностях. Дедлайн заявки ~11 Sep 2026.
2026-08-17,vacancy,НОВОСИСТЕМ,Контент-менеджер (SEO/GEO/AEO),https://hh.ru/vacancy/135926918,85,Remote RU,todo,HH+TG,D04,Сдельная/почасовая — вечерний приоритет ниже штата iubenda.
2026-08-17,vacancy,Evercode Lab,SEO-специалист middle/senior,https://hh.ru/vacancy/135939232,80,Remote,todo,HH+TG,D05,Просят EN B2–C1 письменно — честно: письменный EN + переводчик на созвоне.
2026-08-17,vacancy,Worksynergy listing,Senior SEO Specialist (GEO/AIO),https://worksynergy.10001mb.com/remote-jobs/senior-seo-specialist-seo,78,Remote,todo,site+EN,D06,Агентство multi-account. Проверить свежесть на карьерной странице работодателя.
2026-08-17,vacancy,Roamless,SEO Specialist (content + Digital PR),https://www.marketingremotejobs.app/job/roamless-seo-specialist,76,EU / Berlin remote,todo,LinkedIn+EN,D07,Posted ~14 Aug 2026. Упор на контент и PR рядом с tech SEO.
2026-08-17,vacancy,Wisevu,SEO Specialist,https://jobneticx.mydiscussion.net/job/search-engine-optimization-seo-specialist-5,72,Remote (US/CA/EU clients),todo,site+EN,D08,Posted ~16 Aug 2026. Агентство healthcare/home services.
2026-08-17,vacancy,Партнерские вакансии,SEO-маркетолог,https://ru.joobsi.com/vacancy/40097918/,70,Remote worldwide MSK 5/2,todo,HH/Joobsi+TG,D09,Оклад 100–130k RUB + бонус. Искать оригинал на hh.ru по названию.
2026-08-17,vacancy,Semantica AI (31),Интернет-маркетолог (SEO/GEO/AEO),https://hh.ru/vacancy/134736718,68,Remote,todo,HH+TG,D10,Продукт про GEO. Вилка 65–90k RUB — ниже цели EU штата но сильный бренд темы.
2026-08-17,vacancy,Reedsy,Senior Technical SEO Specialist,https://jobs.ashbyhq.com/reedsy/d05ed43f-5776-4ef7-9b94-219ec9bb3993,62,EU/UK/PT listed remote,todo,Ashby+EN,D11,Senior £50–75k. Отклик как mid с упором на schema/GEO; не раздувать грейд.
2026-08-17,vacancy,INSOFT,Senior SEO-специалист,https://hh.ru/vacancy/135930206,58,Remote worldwide,todo,HH+TG,D12,Просят 7+ лет и GEO. Отклик только если готовы к senior-скринингу.
2026-08-17,vacancy,Appbooster,SEO/GEO-специалист B2B AdTech,https://hh.ru/vacancy/135882345,88,Remote RF site,todo,HH+TG,D13,Замена iubenda. Перед откликом открыть ссылку — кнопка Откликнуться.
2026-08-17,vacancy,Маверик geoBoost,GEO/SEO-специалист,https://hh.ru/vacancy/135386252,86,Agency clients LLM,todo,HH+TG,D14,140–170k RUB. Проверить что вакансия ещё открыта.
2026-08-17,vacancy,Oxylabs,GEO Specialist SEO Team,https://jobs.lever.co/oxylabs/c8a4d4af-6aaf-431f-a542-83d247369540,84,Remote (check location on form),todo,Lever+EN,D15,Сильный GEO. На форме проверить страны найма до отправки.
2026-08-17,vacancy,Method inc,SEO/GEO Specialist AI Search,https://hh.ru/vacancy/134860167,80,Check office vs remote,todo,HH+TG,D16,Тема 1:1 с УТП. Если только офис Тула — статус skip.
2026-08-17,vacancy,ХЕЛП КОНСАЛТИНГ,SEO-специалист + GEO,https://hh.ru/vacancy/133324335,74,Remote or Moscow hybrid,todo,HH+TG,D17,120–150k + GEO в обязанностях. Проверить открыта ли.
2026-08-17,search,HH board,SEO remote filter,https://hh.ru/vacancies/seo_specialist/udalennaya_rabota,0,RU remote,watch,HH,,Каждый день: открыть ленту сам — агрегатор ссылок в чате не равен «ещё открыта».
2026-08-17,vacancy,Better Proposals,Junior SEO Specialist,https://weworkremotely.com/remote-jobs/better-proposals-junior-seo-specialist,90,Anywhere,todo,WWR+EN,E01,Пачка EU. GEO/AIO. Дедлайн Sep 2026.
2026-08-17,vacancy,Feather,Senior Content SEO GEO Manager,https://feather-insurance.com/careers/senior-content-SEO-GEO-Manager,78,Remote EU Berlin,todo,careers+EN,E02,Частная EU. Senior — отклик как practitioner.
2026-08-17,vacancy,Oxylabs,GEO Specialist,https://jobs.lever.co/oxylabs/c8a4d4af-6aaf-431f-a542-83d247369540,86,Check country on form,todo,Lever+EN,E03,Продукт Vilnius. Не корпорация FAANG.
2026-08-17,vacancy,Reedsy,Senior Technical SEO Specialist,https://jobs.ashbyhq.com/reedsy/d05ed43f-5776-4ef7-9b94-219ec9bb3993,70,Remote Europe incl PT,todo,Ashby+EN,E04,Повтор D11 в EU-пачке.
2026-08-17,vacancy,Roamless,SEO Specialist content PR,https://www.marketingremotejobs.app/job/roamless-seo-specialist,80,EU Berlin,todo,board+EN,E05,Стартап eSIM.
2026-08-17,vacancy,BB Agency,SEO Specialist,https://builtin.com/job/seo-specialist/6366780,82,Remote Europe,todo,Builtin+EN,E06,Частное агентство ~30 чел. 2200-2600 EUR.
2026-08-17,vacancy,Lumynex,SEO Specialist,https://www.marketingremotejobs.app/job/lumynex-seo-specialist-remote,74,Remote EU Cyprus,todo,board+EN,E07,Агентство. Проверить Apply.
2026-08-17,vacancy,Wisevu,SEO Specialist,https://jobneticx.mydiscussion.net/job/search-engine-optimization-seo-specialist-5,72,Remote agency,todo,site+EN,E08,Клиенты в т.ч. Europe.
